ID,condition,Dyad,A_or_B,gender,familiar,familiar_group,gender_group,cq,ts,tp,X,profile,maxrec,maxlag
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,74,0.316173646,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,75,0.315273775,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,76,0.314373559,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,77,0.30905247,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,78,0.30911188,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,79,0.3164776,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,80,0.31,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,81,0.307943835,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,82,0.309542132,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,83,0.30421397,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,84,0.310623557,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,85,0.305101059,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,86,0.303812091,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,87,0.300596957,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,88,0.306047766,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,89,0.306106723,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,90,0.306358382,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,91,0.304104837,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,92,0.303392444,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,93,0.305957201,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,94,0.30158118,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,95,0.303375121,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,96,0.301311728,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,97,0.299826355,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,98,0.296217677,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,99,0.291449527,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,100,0.294401544,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,101,0.295810002,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,102,0.294129007,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,103,0.292640525,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,104,0.289026275,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,105,0.292753623,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,106,0.291457286,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,107,0.290740383,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,108,0.289249807,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,109,0.290272675,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,110,0.289555126,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,111,0.28709615,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,112,0.285410217,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,113,0.282755951,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,114,0.285520712,0.35871017,112
